	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	death	death	death	death	death	death
						
2.sexo	0.515***	0.505***	0.551***	0.515***	0.277***	0.301***
	(0.0330)	(0.0314)	(0.0328)	(0.0333)	(0.0373)	(0.0379)
1.covid19	0.924***	0.879***	0.781***	0.646***	0.223**	0.160*
	(0.0904)	(0.0932)	(0.0951)	(0.0929)	(0.0909)	(0.0968)
1b.sexo#0b.covid19	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)
1b.sexo#1o.covid19	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)
2o.sexo#0b.covid19	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)
2.sexo#1.covid19	-0.0716*	-0.0710*	-0.0500	-0.0528	0.0218	0.00947
	(0.0374)	(0.0372)	(0.0383)	(0.0385)	(0.0398)	(0.0405)
edad	0.0670***	0.0663***	0.0588***	0.0544***	0.0356***	0.0343***
	(0.00142)	(0.00142)	(0.00149)	(0.00145)	(0.00132)	(0.00135)
0b.covid19#co.edad	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)
1.covid19#c.edad	0.00608***	0.00672***	0.00856***	0.0105***	0.0110***	0.0134***
	(0.00144)	(0.00146)	(0.00152)	(0.00145)	(0.00144)	(0.00148)
pregnant				-0.749***	-1.253***	-1.278***
				(0.247)	(0.244)	(0.256)
indigenous				0.0584	-0.173	0.0574
				(0.111)	(0.111)	(0.102)
contagion				-1.106***	-0.782***	-0.501***
				(0.0555)	(0.0499)	(0.0507)
diabetes			0.487***	0.449***	0.213***	0.236***
			(0.0188)	(0.0191)	(0.0217)	(0.0223)
epoc			0.184***	0.147***	0.0371	0.0266
			(0.0491)	(0.0503)	(0.0526)	(0.0530)
asma			-0.142**	-0.101*	-0.0395	-0.0140
			(0.0573)	(0.0563)	(0.0629)	(0.0618)
inmusupr			0.326***	0.311***	0.126*	0.148**
			(0.0643)	(0.0618)	(0.0724)	(0.0733)
hipertension			0.247***	0.229***	0.159***	0.113***
			(0.0233)	(0.0231)	(0.0237)	(0.0243)
otra_con			0.701***	0.641***	0.479***	0.220***
			(0.0564)	(0.0566)	(0.0532)	(0.0538)
cardiovascular			-0.0280	-0.0113	-0.0596	-0.000746
			(0.0486)	(0.0500)	(0.0476)	(0.0480)
obesidad			0.233***	0.272***	0.0982***	0.176***
			(0.0334)	(0.0301)	(0.0259)	(0.0262)
renal_cronica			0.870***	0.799***	0.598***	0.502***
			(0.0429)	(0.0424)	(0.0431)	(0.0439)
tabaquismo			-0.183***	-0.167***	-0.140***	-0.0986**
			(0.0418)	(0.0414)	(0.0422)	(0.0413)
hospital					1.992***	1.762***
					(0.106)	(0.0998)
ingresodate					-0.0198***	-0.0212***
					(0.000741)	(0.000752)
onset					-0.00313	-0.00526
					(0.00640)	(0.00517)
pneumonia					1.100***	1.385***
					(0.109)	(0.0988)
icu					-0.494***	0.0446
					(0.117)	(0.0979)
intubate					1.889***	1.879***
					(0.0704)	(0.0686)
1.state		-0.336**	-0.424***	-0.457***	-0.441***	-0.444***
		(0.134)	(0.117)	(0.0956)	(0.0581)	(0.0479)
2.state		1.144***	1.028***	1.043***	0.484*	0.735***
		(0.228)	(0.208)	(0.265)	(0.258)	(0.169)
3.state		0.00425	-0.0885	-0.0954	-0.140	-0.332***
		(0.179)	(0.171)	(0.125)	(0.107)	(0.0901)
4.state		1.044***	1.037***	0.836***	0.673***	0.635***
		(0.159)	(0.152)	(0.128)	(0.144)	(0.195)
5.state		0.436***	0.461***	0.319**	0.794***	0.651***
		(0.161)	(0.147)	(0.126)	(0.0976)	(0.132)
6.state		-0.0871	-0.171	-0.296**	-0.111	-0.171
		(0.188)	(0.162)	(0.150)	(0.119)	(0.134)
7.state		0.303	0.235	0.178	0.0461	0.237
		(0.254)	(0.244)	(0.250)	(0.304)	(0.289)
8.state		0.709***	0.582***	0.456**	0.350***	0.147*
		(0.231)	(0.210)	(0.183)	(0.125)	(0.0783)
10.state		-0.409**	-0.396*	-0.364**	0.479***	0.329***
		(0.186)	(0.202)	(0.157)	(0.0979)	(0.0785)
11.state		0.140	0.0957	0.0200	0.237	0.337**
		(0.237)	(0.226)	(0.180)	(0.157)	(0.156)
12.state		0.750***	0.652***	0.607***	0.123	0.450***
		(0.164)	(0.156)	(0.146)	(0.190)	(0.128)
13.state		0.169	0.111	0.127	0.329***	0.510***
		(0.158)	(0.149)	(0.129)	(0.102)	(0.120)
14.state		0.201	0.00286	-0.0681	0.242	0.312***
		(0.173)	(0.178)	(0.150)	(0.185)	(0.104)
15.state		0.671***	0.670***	0.578***	-0.0719	-0.0240
		(0.136)	(0.129)	(0.107)	(0.0682)	(0.0606)
16.state		0.476***	0.458***	0.390***	0.216*	0.408***
		(0.160)	(0.148)	(0.124)	(0.120)	(0.113)
17.state		0.190	0.144	0.00598	-0.0983	0.115
		(0.146)	(0.140)	(0.122)	(0.119)	(0.101)
18.state		0.212	0.111	-0.0146	0.0532	0.0721
		(0.148)	(0.137)	(0.118)	(0.0808)	(0.0779)
19.state		-0.288*	-0.296**	-0.399***	0.262***	0.260***
		(0.153)	(0.143)	(0.125)	(0.0846)	(0.0655)
20.state		0.546***	0.495***	0.408***	0.314**	0.221*
		(0.186)	(0.178)	(0.153)	(0.148)	(0.131)
21.state		0.361	0.344	0.454**	0.364***	0.807***
		(0.277)	(0.269)	(0.219)	(0.137)	(0.0873)
22.state		0.382***	0.315**	0.208**	-0.365***	-0.384***
		(0.136)	(0.126)	(0.104)	(0.0680)	(0.0757)
23.state		0.605	0.566	0.563	0.520*	0.732***
		(0.372)	(0.361)	(0.361)	(0.287)	(0.234)
24.state		0.616***	0.513***	0.408***	0.302***	0.0361
		(0.147)	(0.142)	(0.116)	(0.0731)	(0.118)
25.state		0.597***	0.567***	0.476***	0.295***	0.211
		(0.170)	(0.158)	(0.151)	(0.0989)	(0.156)
26.state		-0.342**	-0.377**	-0.327**	-0.158*	0.0218
		(0.166)	(0.160)	(0.150)	(0.0919)	(0.0932)
27.state		0.429**	0.391**	0.633***	0.531***	0.829***
		(0.180)	(0.159)	(0.137)	(0.0844)	(0.114)
28.state		0.502**	0.412*	0.408**	0.479**	0.648***
		(0.225)	(0.217)	(0.205)	(0.218)	(0.124)
29.state		0.0269	-0.00677	0.0549	0.283**	0.319***
		(0.166)	(0.159)	(0.139)	(0.110)	(0.110)
30.state		-0.00957	-0.0162	-0.114	-0.0509	0.0832
		(0.208)	(0.188)	(0.178)	(0.165)	(0.167)
31.state		-0.907***	-0.879***	-0.912***	-0.217	-0.00329
		(0.265)	(0.252)	(0.263)	(0.295)	(0.244)
32.state		0.0725	0.0227	-0.0407	0.200***	0.307***
		(0.155)	(0.148)	(0.120)	(0.0741)	(0.0726)
1.sector3						-0.249
						(0.210)
4.sector3						1.424***
						(0.0920)
6.sector3						0.369***
						(0.120)
9.sector3						-3.706***
						(1.045)
0b.sector3#0b.covid19						0
						(0)
0b.sector3#1o.covid19						0
						(0)
1o.sector3#0b.covid19						0
						(0)
1.sector3#1.covid19						0.208
						(0.177)
4o.sector3#0b.covid19						0
						(0)
4.sector3#1.covid19						-0.194***
						(0.0722)
6o.sector3#0b.covid19						0
						(0)
6.sector3#1.covid19						-0.174
						(0.120)
9o.sector3#0b.covid19						0
						(0)
9o.sector3#1o.covid19						0
						(0)
o.travel				-		
						
Constant	-7.064***	-7.205***	-7.134***	-6.509***	431.2***	460.9***
	(0.116)	(0.153)	(0.149)	(0.131)	(16.37)	(16.63)
						
Observations	264,514	264,514	262,670	262,670	262,670	262,641
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
